Category,Rank,Chain
Fitness,2,Anytime Fitness
Fitness,3,24 Hour Fitness
Fitness,4,Gold's Gym
Fitness,5,LA Fitness
Fitness,6,Snap Fitness
Fitness,7,Orangetheory Fitness
Fitness,8,Equinox
Fitness,9,Crunch Fitness
Fitness,10,SoulCycle
Fitness,11,Retro Fitness
Fitness,12,The Bar Method
Fitness,13,CrossFit
Fitness,14,Pure Barre
Fitness,15,CorePower Yoga
Fitness,16,YMCA
Fitness,17,Life Time Fitness
Fitness,18,Blink Fitness
Fitness,19,UFC Gym
Fitness,20,The Little Gym
Fitness,21,CycleBar
Fitness,22,F45 Training
Fitness,23,My Gym
Fitness,24,Club Pilates
Fitness,25,Jazzercise
Health,1,CVS Health
Health,2,Walgreens Boots Alliance
Health,3,Rite Aid
Health,4,Walmart Health
Health,5,HCA Healthcare
Health,6,Tenet Healthcare
Health,7,Community Health Systems
Health,8,Ascension Health
Health,9,Catholic Health Initiatives
Health,10,Kaiser Permanente
Health,11,Mayo Clinic
Health,12,Cleveland Clinic
Health,13,Johns Hopkins Medicine
Health,14,Partners HealthCare
Health,15,Mount Sinai Health System
Health,16,Memorial Hermann Health System
Health,17,NewYork-Presbyterian Hospital
Health,18,Advocate Aurora Health
Health,19,Intermountain Healthcare
Health,20,CommonSpirit Health
Health,21,Northwell Health
Health,22,University of Pittsburgh Medical Center
Health,23,Cedars-Sinai Medical Center
Health,24,Stanford Health Care
Health,25,Banner Health
